iter	Passed	Remaining
0	0	78
1	1	69
2	2	65
3	2	59
4	3	57
5	3	56
6	4	55
7	4	55
8	5	54
9	6	54
10	6	53
11	7	53
12	7	52
13	8	52
14	9	51
15	9	50
16	10	49
17	10	48
18	11	48
19	11	47
20	12	47
21	13	46
22	13	45
23	14	44
24	14	44
25	15	44
26	16	43
27	16	42
28	17	42
29	17	41
30	18	40
31	18	40
32	19	39
33	20	39
34	20	38
35	21	38
36	22	37
37	22	36
38	23	36
39	23	35
40	24	35
41	25	34
42	25	34
43	26	33
44	27	33
45	27	32
46	28	32
47	29	31
48	29	31
49	30	30
50	31	29
51	31	29
52	32	28
53	33	28
54	33	27
55	34	27
56	35	26
57	36	26
58	36	25
59	37	25
60	38	24
61	39	24
62	40	23
63	42	24
64	43	23
65	44	23
66	45	22
67	46	21
68	46	21
69	47	20
70	48	19
71	48	19
72	49	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	55	13
80	55	13
81	56	12
82	56	11
83	57	10
84	58	10
85	58	9
86	59	8
87	59	8
88	60	7
89	61	6
90	61	6
91	62	5
92	63	4
93	63	4
94	64	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
